epoch, rmse, rmse-dn
1000, 0.0406352, 50.4242
2000, 0.0372851, 46.2671
3000, 0.0365885, 45.4026
4000, 0.0360504, 44.7349
5000, 0.0355635, 44.1308
6000, 0.0350922, 43.5459
7000, 0.0346479, 42.9946
8000, 0.0342877, 42.5476
9000, 0.0340319, 42.2302
10000, 0.033866, 42.0244
11000, 0.0337669, 41.9014
12000, 0.033701, 41.8195
13000, 0.0334214, 41.4726
14000, 0.0325597, 40.4034
15000, 0.0316743, 39.3047
16000, 0.03125, 38.7781
17000, 0.0310541, 38.535
18000, 0.0309561, 38.4134
19000, 0.0308997, 38.3434
20000, 0.0308804, 38.3194
22000, 0.0302261, 37.5075
23000, 0.030199, 37.474
25000, 0.0298588, 37.0518
26000, 0.0298249, 37.0097
27000, 0.02981, 36.9912
29000, 0.0296353, 36.7745
30000, 0.0295971, 36.727
31000, 0.0295729, 36.697
32000, 0.02956, 36.681
33000, 0.029557, 36.6773
35000, 0.0294516, 36.5465
36000, 0.0294169, 36.5035
37000, 0.0293923, 36.4729
38000, 0.0293756, 36.4522
39000, 0.0293662, 36.4405
40000, 0.0293629, 36.4365
42000, 0.0292758, 36.3283
43000, 0.0292357, 36.2786
44000, 0.0291995, 36.2336
45000, 0.0291631, 36.1885
46000, 0.0291294, 36.1466
47000, 0.029102, 36.1127
48000, 0.0290851, 36.0917
49000, 0.0290788, 36.0839
51000, 0.0289182, 35.8846
52000, 0.0288784, 35.8352
53000, 0.02885, 35.8
54000, 0.0288303, 35.7755
55000, 0.028818, 35.7603
56000, 0.0288146, 35.756
58000, 0.0286935, 35.6058
59000, 0.02866, 35.5641
60000, 0.0286348, 35.5329
61000, 0.0286179, 35.512
62000, 0.0286087, 35.5005
63000, 0.0286078, 35.4994
65000, 0.0285066, 35.3738
66000, 0.0284773, 35.3375
67000, 0.0284572, 35.3125
68000, 0.0284464, 35.2992
69000, 0.0284439, 35.296
71000, 0.0283676, 35.2014
72000, 0.0283437, 35.1717
73000, 0.0283286, 35.153
74000, 0.0283221, 35.1448
76000, 0.0282679, 35.0776
77000, 0.028247, 35.0517
78000, 0.0282353, 35.0371
79000, 0.0282319, 35.0329
81000, 0.0281749, 34.9622
82000, 0.028157, 34.94
83000, 0.0281483, 34.9292
85000, 0.0281084, 34.8797
86000, 0.0280934, 34.8611
87000, 0.0280862, 34.8522
89000, 0.0280451, 34.8012
90000, 0.0280318, 34.7847
91000, 0.0280269, 34.7786
93000, 0.0279838, 34.7251
94000, 0.0279721, 34.7106
95000, 0.0279697, 34.7076
97000, 0.027925, 34.6521
98000, 0.027915, 34.6397
99000, 0.027914, 34.6385
101000, 0.0278674, 34.5807
102000, 0.0278593, 34.5706
104000, 0.0278294, 34.5335
105000, 0.027824, 34.5268
107000, 0.027794, 34.4896
108000, 0.0277905, 34.4853
110000, 0.0277606, 34.4482
111000, 0.0277594, 34.4466
113000, 0.0277299, 34.41
115000, 0.027715, 34.3915
117000, 0.0277009, 34.3741
119000, 0.0276876, 34.3575
121000, 0.0276755, 34.3425
123000, 0.0276633, 34.3274
124000, 0.0276517, 34.313
125000, 0.0276402, 34.2988
126000, 0.027629, 34.2849
127000, 0.0276188, 34.2722
128000, 0.0276092, 34.2603
129000, 0.0275992, 34.2479
130000, 0.0275906, 34.2372
131000, 0.0275818, 34.2262
132000, 0.0275736, 34.216
133000, 0.0275667, 34.2075
134000, 0.0275595, 34.1986
135000, 0.027553, 34.1905
136000, 0.0275468, 34.1828
137000, 0.0275414, 34.1761
138000, 0.0275363, 34.1697
139000, 0.027531, 34.1633
140000, 0.0275259, 34.1569
141000, 0.0275214, 34.1513
142000, 0.0275167, 34.1455
143000, 0.0275127, 34.1405
144000, 0.0275086, 34.1354
145000, 0.0275048, 34.1307
146000, 0.0275016, 34.1267
147000, 0.0274978, 34.1221
148000, 0.0274948, 34.1183
149000, 0.0274917, 34.1144
150000, 0.0274881, 34.1099
151000, 0.0274844, 34.1053
152000, 0.027481, 34.1012
153000, 0.0274781, 34.0976
154000, 0.027475, 34.0937
155000, 0.0274719, 34.0898
156000, 0.0274687, 34.0859
157000, 0.027466, 34.0825
158000, 0.0274635, 34.0794
159000, 0.0274607, 34.076
160000, 0.0274564, 34.0707
161000, 0.027453, 34.0665
162000, 0.02745, 34.0627
163000, 0.0274473, 34.0593
164000, 0.0274449, 34.0564
165000, 0.027442, 34.0528
166000, 0.0274387, 34.0486
167000, 0.0274362, 34.0456
168000, 0.0274333, 34.0419
169000, 0.0274303, 34.0382
170000, 0.0274277, 34.035
171000, 0.027425, 34.0317
172000, 0.0274224, 34.0284
173000, 0.0274198, 34.0252
174000, 0.0274179, 34.0228
175000, 0.027415, 34.0192
176000, 0.0274126, 34.0163
177000, 0.0274104, 34.0136
178000, 0.0274082, 34.0108
179000, 0.0274058, 34.0078
180000, 0.0274035, 34.005
181000, 0.0274018, 34.0029
182000, 0.0273994, 34
183000, 0.0273968, 33.9967
184000, 0.0273944, 33.9937
185000, 0.027392, 33.9908
186000, 0.0273901, 33.9884
187000, 0.0273882, 33.986
188000, 0.0273864, 33.9838
189000, 0.0273849, 33.9819
190000, 0.0273827, 33.9792
191000, 0.0273811, 33.9772
192000, 0.0273801, 33.976
193000, 0.0273784, 33.9739
194000, 0.0273768, 33.9719
195000, 0.0273745, 33.969
196000, 0.0273723, 33.9662
197000, 0.0273702, 33.9636
198000, 0.0273685, 33.9615
199000, 0.0273665, 33.9591
200000, 0.0273644, 33.9565
201000, 0.0273621, 33.9537
202000, 0.0273592, 33.9501
203000, 0.0273561, 33.9462
204000, 0.0273531, 33.9425
205000, 0.0273505, 33.9392
206000, 0.0273486, 33.9369
207000, 0.0273465, 33.9342
208000, 0.0273441, 33.9313
209000, 0.0273415, 33.9281
210000, 0.0273384, 33.9242
211000, 0.0273357, 33.9208
212000, 0.0273323, 33.9166
213000, 0.0273294, 33.913
214000, 0.0273268, 33.9099
215000, 0.0273241, 33.9065
216000, 0.0273217, 33.9035
217000, 0.0273183, 33.8993
218000, 0.027315, 33.8952
219000, 0.0273117, 33.8911
220000, 0.0273075, 33.8859
221000, 0.0273033, 33.8806
222000, 0.0272989, 33.8753
223000, 0.027295, 33.8704
224000, 0.0272912, 33.8657
225000, 0.0272872, 33.8607
226000, 0.0272836, 33.8563
227000, 0.0272797, 33.8514
228000, 0.0272758, 33.8465
229000, 0.0272719, 33.8417
230000, 0.0272669, 33.8355
231000, 0.0272624, 33.8299
232000, 0.0272579, 33.8243
233000, 0.0272538, 33.8193
234000, 0.0272494, 33.8138
235000, 0.0272452, 33.8086
236000, 0.0272405, 33.8027
237000, 0.0272346, 33.7954
238000, 0.0272284, 33.7877
239000, 0.0272233, 33.7814
240000, 0.0272182, 33.775
241000, 0.0272132, 33.7689
242000, 0.0272071, 33.7613
243000, 0.0272015, 33.7544
244000, 0.0271955, 33.7469
245000, 0.0271903, 33.7404
246000, 0.0271845, 33.7332
247000, 0.0271787, 33.726
248000, 0.0271721, 33.7178
249000, 0.0271657, 33.7099
250000, 0.0271581, 33.7004
251000, 0.0271519, 33.6928
252000, 0.0271448, 33.6839
253000, 0.0271377, 33.6751
254000, 0.0271309, 33.6667
255000, 0.0271243, 33.6585
256000, 0.0271174, 33.65
257000, 0.0271109, 33.6419
258000, 0.0271036, 33.6328
259000, 0.0270962, 33.6237
260000, 0.0270886, 33.6142
261000, 0.0270814, 33.6054
262000, 0.0270748, 33.5971
263000, 0.0270677, 33.5883
264000, 0.0270609, 33.5798
265000, 0.0270542, 33.5716
266000, 0.0270479, 33.5637
267000, 0.0270417, 33.556
268000, 0.0270363, 33.5493
269000, 0.0270305, 33.5422
270000, 0.0270248, 33.5351
271000, 0.0270195, 33.5285
272000, 0.0270134, 33.5209
273000, 0.0270081, 33.5143
274000, 0.0270028, 33.5078
275000, 0.0269976, 33.5014
276000, 0.0269925, 33.495
277000, 0.0269869, 33.488
278000, 0.0269812, 33.4809
279000, 0.026975, 33.4732
280000, 0.0269701, 33.4672
281000, 0.0269644, 33.4602
282000, 0.0269588, 33.4532
283000, 0.0269532, 33.4463
284000, 0.0269484, 33.4402
285000, 0.0269435, 33.4342
286000, 0.0269377, 33.4269
287000, 0.0269321, 33.4201
288000, 0.0269268, 33.4135
289000, 0.0269214, 33.4067
290000, 0.0269164, 33.4005
291000, 0.0269116, 33.3946
292000, 0.0269061, 33.3878
293000, 0.026901, 33.3815
294000, 0.0268959, 33.3752
295000, 0.0268914, 33.3695
296000, 0.0268868, 33.3639
297000, 0.0268828, 33.3589
298000, 0.0268785, 33.3535
299000, 0.0268736, 33.3474
300000, 0.0268694, 33.3423
301000, 0.0268647, 33.3364
302000, 0.0268595, 33.3299
303000, 0.0268539, 33.323
304000, 0.0268483, 33.3161
