epoch, rmse, rmse-dn, rsqr, mrse
1000, 0.0407412, 50.5557, 0.789192, 0.0293636
2000, 0.0406634, 50.4592, 0.812825, 0.0248821
3000, 0.039936, 49.5566, 0.850127, 0.0218208
4000, 0.0393712, 48.8557, 0.877407, 0.0206445
5000, 0.0388535, 48.2133, 0.895622, 0.0201185
6000, 0.0385068, 47.7831, 0.904326, 0.0196922
7000, 0.0383869, 47.6343, 0.905555, 0.0198585
8000, 0.0381689, 47.3638, 0.903931, 0.0201827
9000, 0.0372764, 46.2563, 0.903289, 0.0204573
10000, 0.0357588, 44.3731, 0.906642, 0.0210205
11000, 0.0344417, 42.7387, 0.909861, 0.0221264
12000, 0.0336898, 41.8057, 0.910241, 0.0231705
13000, 0.0330746, 41.0422, 0.908812, 0.0242794
14000, 0.0324567, 40.2756, 0.905728, 0.025638
15000, 0.0317941, 39.4532, 0.901163, 0.027324
16000, 0.0311492, 38.6531, 0.895242, 0.0292784
17000, 0.0305944, 37.9646, 0.888157, 0.0314567
18000, 0.0302157, 37.4947, 0.880316, 0.0337618
19000, 0.030047, 37.2853, 0.872144, 0.0360427
23000, 0.0297125, 36.8702, 0.942223, 0.019059
25000, 0.0297125, 36.8702, 0.943835, 0.0180515
