NetworkId, hNodes, Effective Passes, Total Passes, Step Parameter, Validation Accuracy, Validation Accuracy (DN), Test Accuracy, Test Accuracy DN
0, 10, 437000, 450000, 0.0159507, 0.0237201, 29.4343, 0.0239137, 29.6745
1, 10, 458000, 470000, 0.0105299, 0.0231732, 28.7557, 0.0233642, 28.9927
2, 10, 323000, 333000, 0.0114278, 0.0230161, 28.5607, 0.0231089, 28.6759
3, 10, 610000, 628000, 0.0325214, 0.0199533, 24.7601, 0.0202484, 25.1262
4, 10, 787000, 816000, 0.0226401, 0.0217165, 26.948, 0.0220185, 27.3227
