NetworkId, hNodes, Effective Passes, Total Passes, Step Parameter, Validation RMSE, Validation RMSE (DN), Test RMSE, Test RMSE DN, R^2, MSRE
0, 2, 23000, 30000, 0.0994896, 0.0342861, 42.5456, 0.035399, 43.9266, 0.86478, 0.0203219
1, 2, 97000, 104000, 0.0101378, 0.0339928, 42.1816, 0.0352107, 43.693, 0.868037, 0.0200101
2, 2, 133000, 140000, 0.0100004, 0.0348888, 43.2935, 0.0352094, 43.6914, 0.868524, 0.0199537
3, 2, 74000, 81000, 0.0117629, 0.0342927, 42.5538, 0.0352048, 43.6856, 0.868788, 0.019826
4, 2, 99000, 106000, 0.0100233, 0.0343456, 42.6195, 0.035197, 43.676, 0.869213, 0.0198243
5, 2, 101000, 108000, 0.0100164, 0.0345614, 42.8873, 0.0351853, 43.6615, 0.869174, 0.0197693
6, 3, 19000, 25000, 0.0991616, 0.035901, 44.5496, 0.0335193, 41.5941, 0.887756, 0.0204851
7, 3, 130000, 138000, 0.010483, 0.0326069, 40.4619, 0.0329452, 40.8817, 0.887886, 0.0210336
8, 3, 146000, 154000, 0.0106024, 0.032414, 40.2226, 0.0329106, 40.8387, 0.889939, 0.0205016
9, 3, 124000, 133000, 0.0108384, 0.0322376, 40.0036, 0.0329141, 40.8431, 0.889678, 0.0207578
10, 3, 136000, 145000, 0.0106024, 0.0324143, 40.2229, 0.0329249, 40.8565, 0.889136, 0.0210757
11, 3, 159000, 166000, 0.0100013, 0.0318137, 39.4776, 0.03252, 40.3541, 0.891918, 0.0184305
12, 4, 52000, 64000, 0.0999256, 0.0314124, 38.9797, 0.0320529, 39.7745, 0.889085, 0.0228144
13, 4, 195000, 205000, 0.0158246, 0.0291211, 36.1364, 0.0297063, 36.8625, 0.913185, 0.0172056
14, 4, 586000, 592000, 0.01, 0.0292155, 36.2535, 0.0293501, 36.4205, 0.915824, 0.0176852
15, 4, 266000, 277000, 0.0119038, 0.028626, 35.5219, 0.0289952, 35.9802, 0.916627, 0.0185461
16, 4, 306000, 320000, 0.0180782, 0.0285233, 35.3946, 0.0288452, 35.7941, 0.9179, 0.0177602
17, 4, 324000, 334000, 0.0100157, 0.0285987, 35.4882, 0.0290255, 36.0177, 0.916667, 0.0178564
18, 5, 342000, 355000, 0.0159788, 0.0272003, 33.7528, 0.0273791, 33.9747, 0.926813, 0.0165198
19, 5, 268000, 275000, 0.01, 0.0272802, 33.852, 0.0275495, 34.1862, 0.924514, 0.0166663
20, 5, 637000, 645000, 0.01, 0.0281595, 34.9431, 0.0284484, 35.3016, 0.921698, 0.0154023
21, 5, 212000, 220000, 0.0101234, 0.0284716, 35.3304, 0.0287061, 35.6214, 0.918258, 0.0156433
