NetworkId, hNodes, Effective Passes, Total Passes, Step Parameter, Validation RMSE, Validation RMSE (DN), Test RMSE, Test RMSE DN, R^2, MSRE
0, 19, 616000, 625000, 0.010096, 0.0216727, 26.8936, 0.0218247, 27.0823, 0.954249, 0.0114504
1, 19, 780000, 804000, 0.0944024, 0.0188734, 23.42, 0.0190802, 23.6766, 0.96526, 0.00991282
2, 19, 1210000, 1228000, 0.0158698, 0.020485, 25.4199, 0.0206052, 25.5689, 0.959687, 0.0107028
3, 19, 256000, 323000, 0.1, 0.0232066, 28.7971, 0.0232813, 28.8898, 0.948198, 0.0126016
4, 19, 769000, 781000, 0.016042, 0.0182217, 22.6113, 0.0183372, 22.7546, 0.968063, 0.00891854
5, 19, 996000, 1012000, 0.0122939, 0.019823, 24.5983, 0.0198082, 24.58, 0.962532, 0.0105491
6, 20, 895000, 908000, 0.011367, 0.0192721, 23.9147, 0.0195041, 24.2027, 0.96387, 0.00967276
7, 20, 1098000, 1120000, 0.0927791, 0.017234, 21.3857, 0.0173088, 21.4785, 0.971201, 0.00903638
8, 20, 1253000, 1261000, 0.01, 0.0206377, 25.6093, 0.0210309, 26.0972, 0.957486, 0.0113052
9, 20, 702000, 713000, 0.0144957, 0.019775, 24.5388, 0.0198764, 24.6646, 0.962525, 0.0098843
10, 20, 1390000, 1470000, 0.099914, 0.0174167, 21.6124, 0.0174597, 21.6657, 0.971182, 0.00843994
11, 20, 2185000, 2229000, 0.0740985, 0.0183334, 22.75, 0.0184953, 22.9508, 0.967501, 0.00868732
12, 21, 1076000, 1103000, 0.0955501, 0.0184652, 22.9135, 0.0181987, 22.5828, 0.969167, 0.00850346
13, 21, 1252000, 1271000, 0.0292149, 0.0173338, 21.5096, 0.0174344, 21.6343, 0.971187, 0.00837683
14, 21, 1774000, 1801000, 0.0753941, 0.017258, 21.4154, 0.0174448, 21.6473, 0.970846, 0.00848411
15, 21, 839000, 851000, 0.0159456, 0.0195167, 24.2183, 0.0195974, 24.3185, 0.963324, 0.0102479
16, 21, 825000, 838000, 0.0236373, 0.0209465, 25.9925, 0.0211806, 26.283, 0.957484, 0.0103046
17, 21, 2132000, 2181000, 0.0682217, 0.017969, 22.2977, 0.0183572, 22.7795, 0.967883, 0.00880731
