NetworkId, hNodes, Effective Passes, Total Passes, Step Parameter, Validation RMSE, Validation RMSE (DN), Test RMSE, Test RMSE DN, R^2, MSRE
0, 22, 561000, 570000, 0.0145543, 0.0210684, 26.1437, 0.0214124, 26.5706, 0.955969, 0.0106306
1, 22, 915000, 927000, 0.0130148, 0.0189248, 23.4838, 0.0190638, 23.6562, 0.965308, 0.00981562
2, 22, 983000, 999000, 0.0185007, 0.0192209, 23.8512, 0.0192181, 23.8477, 0.964955, 0.00962135
3, 22, 156000, 167000, 0.0999423, 0.0238005, 29.5341, 0.0230264, 28.5735, 0.949215, 0.0124758
4, 22, 704000, 714000, 0.0126284, 0.0202359, 25.1108, 0.0202436, 25.1203, 0.961019, 0.00979478
5, 22, 731000, 742000, 0.0225687, 0.0196662, 24.4038, 0.0197794, 24.5443, 0.962945, 0.01089
6, 23, 608000, 618000, 0.0169722, 0.0221384, 27.4716, 0.0223294, 27.7085, 0.952599, 0.0115002
7, 23, 473000, 493000, 0.0995028, 0.0208401, 25.8604, 0.0204346, 25.3573, 0.959712, 0.0119351
8, 23, 1963000, 1997000, 0.0956208, 0.0160059, 19.8617, 0.0163479, 20.2861, 0.974699, 0.007591
9, 23, 949000, 962000, 0.0170033, 0.0197018, 24.448, 0.0198611, 24.6457, 0.962163, 0.0107572
10, 23, 1192000, 1207000, 0.0138475, 0.0185485, 23.0168, 0.0186106, 23.0939, 0.967017, 0.00916076
11, 23, 1863000, 1894000, 0.0582163, 0.0175415, 21.7673, 0.0176116, 21.8542, 0.970695, 0.00878955
