epoch, rmse, rmse-dn, rsqr, mrse
1000, 0.0363373, 45.0909, 0.749058, 0.0314222
2000, 0.0340317, 42.2299, 0.787762, 0.0263049
3000, 0.0324463, 40.2627, 0.811804, 0.0278739
4000, 0.0315946, 39.2057, 0.823458, 0.0301711
5000, 0.03084, 38.2694, 0.8311, 0.0294128
6000, 0.0298096, 36.9908, 0.830204, 0.0290398
7000, 0.0292715, 36.323, 0.831106, 0.0284018
8000, 0.0290039, 35.991, 0.827536, 0.0296959
9000, 0.0287038, 35.6185, 0.824869, 0.0312094
10000, 0.0284486, 35.3019, 0.826406, 0.0324155
11000, 0.0283753, 35.2109, 0.825243, 0.034245
12000, 0.0283142, 35.1351, 0.820308, 0.0372554
14000, 0.0272937, 33.8688, 0.8706, 0.0197283
15000, 0.0272775, 33.8486, 0.868149, 0.0217001
17000, 0.0265803, 32.9835, 0.888886, 0.0153106
18000, 0.02651, 32.8963, 0.888165, 0.0162371
19000, 0.0264697, 32.8463, 0.887233, 0.017307
20000, 0.0264547, 32.8276, 0.88596, 0.018511
22000, 0.0260152, 32.2822, 0.895471, 0.015809
23000, 0.0260003, 32.2638, 0.894604, 0.0167746
25000, 0.0257969, 32.0114, 0.898238, 0.0160604
27000, 0.0257029, 31.8947, 0.899463, 0.0162014
29000, 0.0256131, 31.7833, 0.900458, 0.0163654
31000, 0.0255245, 31.6733, 0.9016, 0.0165233
33000, 0.0254408, 31.5695, 0.902461, 0.0167644
35000, 0.0253553, 31.4634, 0.903678, 0.0169967
37000, 0.0252709, 31.3587, 0.904873, 0.0171818
39000, 0.0251954, 31.265, 0.905829, 0.0172962
41000, 0.0251322, 31.1866, 0.906435, 0.0173859
43000, 0.0250799, 31.1216, 0.906916, 0.0174817
45000, 0.0250364, 31.0677, 0.907316, 0.0175642
47000, 0.024995, 31.0163, 0.907549, 0.0176237
49000, 0.024964, 30.9778, 0.907721, 0.0176749
51000, 0.0249367, 30.9439, 0.907998, 0.0176821
