NetworkId, hNodes, Validation Accuracy (AVG), Validation Accuracy (AVG-DN), Test Accuracy (SET), Test Accuracy (SET-DN), Total Passes
0, 10, 0.0278783, 34.5941, 0.030163, 37.4293, 25000
1, 10, 0.0287914, 35.7273, 0.0285937, 35.4819, 28000
2, 10, 0.0239021, 29.6602, 0.0241962, 30.025, 46000
3, 10, 0.0299253, 37.1343, 0.0294351, 36.526, 33000
4, 10, 0.0282057, 35.0005, 0.0293451, 36.4143, 32000
5, 10, 0.0315278, 39.1228, 0.0335284, 41.6054, 17000
6, 10, 0.0292352, 36.278, 0.0290539, 36.053, 27000
7, 10, 0.0282289, 35.0292, 0.0281786, 34.9669, 32000
8, 10, 0.0294843, 36.5871, 0.0295412, 36.6577, 18000
9, 10, 0.0262481, 32.5713, 0.0258165, 32.0357, 275000
